# Open,High,Low,Volume,Close
4410,4450,4310,21695000,0.064354
4460,4620,4410,38225000,0.067912
4700,4700,4540,36510000,0.067912
4620,4620,4490,25895000,0.068209
4410,4510,4410,32805000,0.066133
4500,4630,4480,17945000,0.068209
4590,4620,4520,16825000,0.06806
4560,4580,4490,20695000,0.066726
4500,4560,4440,24620000,0.066726
4460,4470,4400,27705000,0.065391
4420,4460,4400,14310000,0.065688
4410,4450,4290,26420000,0.064354
4300,4370,4200,25895000,0.062426
4400,4430,4340,24105000,0.065688
4380,4420,4340,18915000,0.065391
4500,4620,4430,28160000,0.067912
4720,4780,4620,48830000,0.068505
4600,4760,4580,21890000,0.069692
4560,4600,4510,30275000,0.067171
4550,4650,4430,33695000,0.065836
4420,4480,4380,18480000,0.065985
4430,4640,4430,24280000,0.068802
4500,4530,4450,31815000,0.066281
4320,4340,4190,63595000,0.062871
4300,4300,4210,29315000,0.062871
4260,4310,4230,19955000,0.062871
4140,4240,4040,51520000,0.060202
4080,4310,4080,39865000,0.063464
4420,4510,4400,42740000,0.066281
4330,4380,4280,24680000,0.063464
4220,4300,4210,24195000,0.062574
4300,4310,4200,23645000,0.063464
4270,4310,4200,27840000,0.062722
4190,4200,4120,40870000,0.062129
4180,4180,4080,34095000,0.060795
4100,4170,4080,31275000,0.060943
4060,4070,3990,38515000,0.059312
4000,4040,3920,40805000,0.058719
3940,3940,3820,44685000,0.057384
3840,3930,3800,25925000,0.057384
3870,3900,3780,33500000,0.05605
3790,3800,3700,40985000,0.05516
3700,3790,3690,27040000,0.055605
3840,3850,3800,30675000,0.05694
3840,3880,3810,23280000,0.057236
3900,3910,3870,20305000,0.057681
3840,3940,3840,13705000,0.058422
3940,3950,3860,15550000,0.057236
3740,3770,3650,38020000,0.054419
3500,3540,3390,81635000,0.050712
3440,3490,3390,32665000,0.050415
3280,3410,3280,37970000,0.050119
3480,3560,3460,66365000,0.052195
3640,3640,3360,46560000,0.050415
3370,3390,3260,27910000,0.049526
3360,3420,3330,33430000,0.049674
3330,3540,3310,37325000,0.052491
3520,3600,3470,29625000,0.052195
3500,3500,3430,21275000,0.051305
3400,3510,3400,21480000,0.051453
3460,3590,3440,20905000,0.052936
3590,3650,3590,21865000,0.053826
3730,3790,3690,28800000,0.055012
3760,3780,3690,20055000,0.055012
3740,3810,3720,22230000,0.056198
3830,3990,3810,57875000,0.058719
4020,4040,3880,31790000,0.057977
4000,4020,3950,32795000,0.059164
3930,4000,3900,16130000,0.059015
3880,3900,3810,22085000,0.057236
3820,3840,3740,13405000,0.056346
3690,3730,3660,29170000,0.05427
3710,3780,3710,11580000,0.055308
3770,3830,3750,18640000,0.056791
3900,3960,3870,21220000,0.058571
3840,3900,3820,18330000,0.057829
3900,3960,3870,17745000,0.058126
3800,3830,3780,9435000,0.056346
3820,3850,3700,21735000,0.05516
3630,3850,3630,21770000,0.057088
3870,3910,3800,14945000,0.057088
3840,3880,3780,7515000,0.05694
3960,4020,3920,37955000,0.059015
4000,4000,3930,20535000,0.058422
3900,3970,3860,19135000,0.058274
3840,3940,3840,12585000,0.058126
3860,3880,3750,25845000,0.056346
3810,3820,3750,10450000,0.055753
3760,3940,3750,18775000,0.058274
3840,3850,3750,21020000,0.056198
3800,3850,3760,17490000,0.055902
3760,3820,3690,22835000,0.056643
3770,3830,3730,14000000,0.056791
3800,3850,3720,15810000,0.055457
3200,3460,3200,84970000,0.047894
3360,3460,3320,59745000,0.05086
3440,3450,3290,33175000,0.050267
3300,3360,3240,28450000,0.048636
3390,3400,3300,24870000,0.049674
3300,3340,3260,21555000,0.048636
3200,3200,3030,61380000,0.04567
2900,2940,2790,65415000,0.04226
3060,3070,2860,42065000,0.042408
2820,2870,2790,33275000,0.041963
2760,2810,2680,36500000,0.041667
3000,3000,2860,64925000,0.043149
2920,2970,2870,40035000,0.043743
2940,2960,2890,19935000,0.043298
2960,3060,2960,39630000,0.044929
2990,3010,2960,16855000,0.044187
3080,3200,3070,58170000,0.047153
3320,3340,3250,47265000,0.048339
3200,3240,3180,17425000,0.04745
3160,3230,3160,15620000,0.047153
3260,3300,3230,28595000,0.048636
3230,3260,3170,21850000,0.048339
3300,3410,3260,41555000,0.050415
3460,3470,3330,18730000,0.050267
3500,3530,3450,39580000,0.051601
3560,3710,3550,56115000,0.055012
3700,3700,3620,27610000,0.05427
3660,3690,3580,47820000,0.053677
3660,3700,3610,25480000,0.054567
3540,3580,3470,33825000,0.051601
3410,3480,3410,28980000,0.051453
3540,3630,3480,34295000,0.053084
3630,3670,3630,37920000,0.05427
3670,3700,3620,30180000,0.054864
3780,3830,3760,53010000,0.056346
3820,3830,3770,44265000,0.056495
3810,3870,3800,37600000,0.057236
4010,4050,3930,23500000,0.059312
3920,4000,3900,30010000,0.059312
4100,4300,4060,75030000,0.06376
4210,4290,4150,36275000,0.062129
4160,4190,4070,35795000,0.061981
4100,4400,4100,39315000,0.064798
4400,4460,4270,37695000,0.063316
4160,4300,4150,33430000,0.062574
4230,4320,4160,17595000,0.064057
4340,4450,4300,27370000,0.065836
4470,4620,4470,37990000,0.068209
4640,4660,4570,41960000,0.068505
4540,4600,4350,29700000,0.064947
4290,4490,4170,53265000,0.062278
4460,4460,4330,31230000,0.06465
4430,4500,4290,32860000,0.066578
4530,4610,4440,32740000,0.068209
4760,5290,4740,115130000,0.07844
5560,5860,5350,114630000,0.081554
5400,5730,5330,58705000,0.084075
5580,5580,5170,65280000,0.077106
5040,5190,4970,52625000,0.076661
5160,5420,5030,53895000,0.080071
5400,5430,5220,63765000,0.078588
5110,5230,5090,46510000,0.075623
5010,5150,4920,41255000,0.074288
5080,5390,5080,56725000,0.077254
5310,5350,5250,30870000,0.078292
5200,5410,5110,32435000,0.078588
5100,5190,5000,41650000,0.074585
5050,5160,5010,20430000,0.074881
5130,5190,5080,21745000,0.076512
5200,5420,5180,40355000,0.080071
5600,5620,5510,38480000,0.08274
5660,6160,5620,57100000,0.09134
6380,6410,6290,50470000,0.094603
6260,6430,6170,51455000,0.094306
6390,6390,6190,38005000,0.092378
6210,6450,6190,45120000,0.095641
6360,6420,6160,54845000,0.09134
6240,6350,6040,47680000,0.090747
6050,6600,6040,48900000,0.097865
6430,6460,6160,68875000,0.092527
6150,6250,6030,60330000,0.089413
5900,6060,5860,55605000,0.088968
6010,6040,5880,44260000,0.087782
5800,5840,5720,41265000,0.086299
5840,6050,5840,32895000,0.088968
5800,6190,5780,39900000,0.09134
6220,6370,6180,38415000,0.091934
6330,6570,6260,56875000,0.095789
6580,6580,6350,33735000,0.094454
6370,6450,6290,32140000,0.093416
6010,6180,6010,39580000,0.089858
6200,6320,6090,35640000,0.091637
6200,6330,6180,23805000,0.092527
6200,6490,6140,48675000,0.095789
6400,6480,6360,31845000,0.094603
6300,6460,6240,36975000,0.093416
6320,6420,6220,34105000,0.095196
6740,7100,6630,98365000,0.105279
6940,7000,6810,42860000,0.101275
6820,6910,6780,35695000,0.10172
6900,7040,6790,36270000,0.101572
6700,6870,6700,34980000,0.10083
6860,6890,6540,51595000,0.100237
6550,6680,6530,47120000,0.098903
6610,6730,6530,33955000,0.098458
6820,6880,6660,34055000,0.099941
6660,7000,6660,45875000,0.103796
7000,7010,6860,43075000,0.10172
7010,7260,7000,60950000,0.103796
7270,7280,7120,48115000,0.107058
7220,7360,7150,30955000,0.107651
7370,7370,7110,24780000,0.105575
7100,7150,6910,36710000,0.103499
7000,7040,6870,36135000,0.103351
6880,7070,6860,39365000,0.104686
6910,7050,6910,33440000,0.103203
6890,6900,6580,105785000,0.102017
6680,6730,6580,71515000,0.097865
6700,6720,6580,51835000,0.098458
